Row,OutNetThroughput,V_OutBandwidth,Latency,ProcessorLoad,V_MemoryUsage,NetInput,Expected_CLP,Predicted_CLP,FS_pt1_CLP,FS_pt2_CLP,Final_Error,Partial_Error_FS1,Partial_Error_FS2
0,0.62,0.52,0.5,0.42,0.56,0.73,0.85,0.47,0.75,0.19,0.38,0.1,0.66
1,0.15,0.52,0.6,0.1,0.56,0.2,0.85,0.81,0.67,0.96,0.04,0.18,0.11
2,0.23,0.3,1.0,0.5,0.4,0.7,0.8,0.83,0.83,0.82,0.03,0.03,0.02
3,0.7,0.45,0.8,0.6,0.45,0.65,0.73,0.81,0.88,0.74,0.08,0.15,0.01
4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.5,0.1,0.2,0.0
5,0.65,0.46,0.4,0.6,0.45,0.6,0.12,0.32,-0.07,0.7,0.2,0.19,0.58
6,0.78,0.49,0.5,0.78,0.59,0.87,-0.31,-0.65,-0.54,-0.75,0.34,0.23,0.44
7,0.79,0.46,0.5,0.78,0.45,0.78,-0.65,-0.47,-0.53,-0.4,0.18,0.12,0.25
8,0.75,0.48,0.53,0.95,0.6,0.87,-0.82,-0.7,-0.55,-0.84,0.12,0.27,0.02
9,1.0,0.5,1.0,1.0,0.5,1.0,-0.85,-0.9,-0.95,-0.85,0.05,0.1,0.0
